Sample,Facies,Time,NO3_corrected,DOC_corrected,SO4_corrected
A906,T5,37.0,0.01801137649906556,0.00936714300416548,
A906,T5,51.0,0.016431822459385983,0.00726738106444024,
A906,T5,65.0,0.013501189843684857,0.005988065173335832,
A906,T5,84.0,0.011967113830487089,0.0072772041588505315,
A906,T5,100.0,,0.006751069547768091,
A906,T5,108.0,0.011714399302268426,0.006647902205815536,
A906,T5,134.0,0.011714399302268426,0.006924259163536105,
A906,T5,150.0,0.011750929963819585,0.006774844038986863,
A906,T5,170.0,0.011747276897664471,0.0068344086532697735,
A907,T3,0.0,0.015089563256038954,0.004408715359933314,
A907,T3,3.0,0.014333324537490123,0.003312036642080835,
A907,T3,5.0,0.015022342036612395,0.003970105954976093,
A907,T3,14.0,0.014611759096368878,0.0039032690812377496,
A907,T3,25.0,0.014081671766033694,,
A907,T3,37.0,0.014236718042142804,0.0037199120292251875,
A907,T3,51.0,0.014436674494849755,0.0030327144997756017,
A907,T3,65.0,0.01407963378938124,0.0034055323637270348,
A907,T3,84.0,0.01374331429155183,,
A907,T3,100.0,,0.0035820227047034837,
A907,T3,108.0,0.013677586877001416,0.003313777055001025,
A907,T3,134.0,0.013491714870269554,0.004070495851436387,
A907,T3,150.0,0.013823680993888482,0.003897217670395791,
A907,T3,170.0,0.013823296872634616,0.0037956436050003064,
A908,T7,0.0,0.1587802341810526,0.12324279023329318,
A908,T7,3.0,0.1514858407445143,0.132972331544153,
A908,T7,5.0,0.15690859423876374,0.10996852433786183,
A908,T7,14.0,0.1510096618662512,0.10755379202946361,
A908,T7,25.0,0.13957480834415,0.11852705838109089,
A908,T7,37.0,0.13532670231010263,0.11619862609197244,
A908,T7,51.0,0.11909616437913396,0.10625695423816199,
A908,T7,65.0,0.09785803970495256,0.09170301613412826,
A908,T7,84.0,0.07981069620768792,0.09746543346358051,
A908,T7,100.0,,,
A908,T7,108.0,0.07004292434588158,,
A908,T7,134.0,0.06840281339893647,,
A908,T7,150.0,0.06840281339893647,,
A908,T7,170.0,0.06840281339893647,,
B1,T1,0.0,0.011981220738068305,0.002136108462870547,0.0012679493830045922
B1,T1,5.0,0.011387469034679038,0.0019147444237873426,0.0013086670895879125
B1,T1,9.0,0.011437145472014397,0.0017689571179790027,0.0012861026938563228
B1,T1,16.0,0.011508900325943247,0.0013322949163275194,0.001295365972104028
B1,T1,23.0,0.011417432600055922,0.0025383453433923922,0.0012876296078531972
B1,T1,30.0,0.011466005116561604,0.0020885592589761155,0.0012952811435486457
B1,T1,56.0,0.011449446304116486,0.002047709632682363,0.0013112289119604464
B1,T1,72.0,0.01146269335407258,0.003758969711047739,0.0013521502070766832
B1,T1,83.0,0.011461431730267238,0.0018607128828382314,0.0013324699822280786
B1,T1,99.0,0.011312034444651276,0.0019246577471082194,0.0013182187849239164
B1,T1,126.0,0.01121725495627493,0.0024378776572705207,0.0013188295505226664
B1,T1,150.0,0.011407155622808241,,0.0013635341992089367
B2,T3,0.0,0.011450331111154418,0.0013153385056862655,0.0009656153377659213
B2,T3,5.0,0.00945897225065556,0.0016956619297051796,0.0009250266577937075
B2,T3,9.0,0.009339615539579833,0.0015268374422874578,0.000915023904452241
B2,T3,16.0,0.009493615842208912,0.0012536457842699856,0.0010249021736803909
B2,T3,23.0,0.009419288734838157,0.0022887907890004706,0.0010646699590014807
B2,T3,30.0,0.009492344085618921,0.001967474918323311,0.0010854051498187466
B2,T3,56.0,0.009371291699089866,0.0018317268342317769,0.0011338987412462228
B2,T3,72.0,0.009515636072054181,0.00158380802056149,0.0012199558638389947
B2,T3,83.0,0.009305749132609254,0.001574528063387163,0.0012161858291449465
B2,T3,99.0,0.00916512582522307,0.0015745280633871629,0.0012322540818530477
B2,T3,126.0,0.00904402633659809,0.0021251911768134977,0.0012509522377953035
B2,T3,150.0,0.009063102685448,,0.0013589606914292279
B3,T3,0.0,0.0093249158726242,0.0011821484291821508,0.0008219069430812091
B3,T3,5.0,0.007792202905008506,0.001526737664398535,0.0008053622240068212
B3,T3,9.0,0.00770215625815748,0.0011571379433165,0.0008110878121808791
B3,T3,16.0,0.007743838831785106,0.0011329132864028111,0.0008489485738080365
B3,T3,23.0,0.007653984182048898,0.0019187452855019451,0.0008461229588649951
B3,T3,30.0,0.007617658327924775,0.001669394254962592,0.0008514395764551918
B3,T3,56.0,0.007587706778012705,0.0016928255006234156,0.0008830418488444722
B3,T3,72.0,0.007672723100455424,0.0012753847125099083,0.000917060765592933
B3,T3,83.0,0.007514056684767388,0.0013567411769031435,0.0009141855784579081
B3,T3,99.0,0.007377373938726349,0.001382887297375743,0.000925636754806024
B3,T3,126.0,0.007245241524306566,0.0018259618607826768,0.0009434083856319959
B3,T3,150.0,0.007236793651254445,,0.001043296352478114
B4,T3,0.0,0.010086427771394063,0.0009514590777786858,0.0007097230185854047
B4,T3,5.0,0.007540157277768546,0.001096763194393248,0.0006531919792760876
B4,T3,9.0,0.00741790735918255,0.0013991682527875879,0.0006181727513853609
B4,T3,16.0,0.0074841820403207466,0.0008860220248997929,0.0006171610848018507
B4,T3,23.0,0.007342607747452767,0.0021316052328129165,0.0006163606453072055
B4,T3,30.0,0.007299222632643227,0.001539955392340695,0.0006192955901209045
B4,T3,56.0,0.007241352848697193,0.0014929324297681046,0.0006421970534399199
B4,T3,72.0,0.007338543084056558,0.0011952471089547495,0.0006696121061315177
B4,T3,83.0,0.00718077903020368,0.001317296773664433,0.0006693452929666361
B4,T3,99.0,0.007041529862583534,0.0013385080289433447,0.000673703241326371
B4,T3,126.0,0.006916696471499945,0.0016789228720775972,0.0006978498327481677
B4,T3,150.0,,,
B5,T3,0.0,0.011738415604481028,0.0012191814590737247,0.0006809360221290264
B5,T3,5.0,0.00811399006944843,0.0012057688828677445,0.000628652850896761
B5,T3,9.0,0.007913401083739235,0.001454927950147337,0.0005943318536034026
B5,T3,16.0,0.007852795994464033,0.001231144434810653,0.0005864777594360668
B5,T3,23.0,0.007742853646589683,0.0019072424357806878,0.0005905209913446951
B5,T3,30.0,0.00775651544129116,0.0017001076089062394,0.0006050905683947533
B5,T3,56.0,0.007698376314959441,0.0017603850887722707,0.0006290246423366348
B5,T3,72.0,0.007835912248179462,0.001940008938767094,0.0006578849528568454
B5,T3,83.0,0.00770861816105317,0.0015067688784133784,0.0006581637964367509
B5,T3,99.0,0.0075603183895834964,0.0015346046285177918,0.0006547479625829096
B5,T3,126.0,0.007502863252973326,0.001979061613621975,0.0006669473692037715
B5,T3,150.0,,,
B6,T3,0.0,0.029027337803103077,0.003906051141465762,0.0023119878434187586
B6,T3,5.0,0.02430061371719883,0.005706145541707529,0.0024142178777341503
B6,T3,9.0,0.02403331309354457,0.005774436698058743,0.002395925940678754
B6,T3,16.0,0.024306412707396818,0.004879089942549524,0.0025263001329732014
B6,T3,23.0,0.02386919072945067,0.00659705432698259,0.002560200247979342
B6,T3,30.0,0.023883031715489257,0.006243065962632167,0.002621573581188374
B6,T3,56.0,0.02369757344406315,0.0062906123916141145,0.0027444614980856328
B6,T3,72.0,0.023907814192467434,0.006767157579121474,0.0028569675047622604
B6,T3,83.0,0.023538429458346766,0.005431323055704224,0.0028657250344721803
B6,T3,99.0,0.023104544635137204,0.005572148745148445,0.002856579065944482
B6,T3,126.0,0.02279960528265074,0.0071135965875353206,0.0029101836227979415
B6,T3,150.0,0.022779089987139,,0.0030231840061517423
B7,T7,0.0,0.05973117819711269,0.012112356538415683,0.005037056518038799
B7,T7,5.0,0.04964779288005525,0.016076862697512947,0.005266490972382027
B7,T7,9.0,0.04947614072266446,0.014016177473221958,0.005289929052626709
B7,T7,16.0,0.04935199943026575,0.011471656543099394,0.005497675672977294
B7,T7,23.0,0.048760648316617194,0.016508091584528116,0.0056392173264029665
B7,T7,30.0,0.04810186242685084,0.01488384836729826,0.005738829167442863
B7,T7,56.0,0.04388247320087767,0.01543630554735474,0.006108663810264784
B7,T7,72.0,0.042150861327418764,0.012137831863990782,0.006418913982854284
B7,T7,83.0,0.04004576454007658,0.013392793435610445,0.006454223298547571
B7,T7,99.0,0.03815594030726435,0.013529208085205127,0.006559161976006712
B7,T7,126.0,0.03611026157440359,0.015848573993754778,0.006750014915141976
B7,T7,150.0,0.03403534538616308,,0.007195947221095979
B8,T7,0.0,0.06410485001693116,0.012035622321548055,0.00480943474905582
B8,T7,5.0,0.0495174999931882,0.015029980337290322,0.005073025346812563
B8,T7,9.0,0.04948533637395325,0.014462164904104763,0.005155031310559107
B8,T7,16.0,0.04885515917708535,0.012251671417178105,0.005402754569941745
B8,T7,23.0,0.04836167736196605,0.017032387368889353,0.005586044572094957
B8,T7,30.0,0.047815814795521244,0.015604627434744871,0.005771188235273182
B8,T7,56.0,0.047195516424561226,0.01742072544200911,0.006216066881276126
B8,T7,72.0,0.04781478096490298,0.01430880210070796,0.006592434215794616
B8,T7,83.0,0.04685262926950278,0.014305796570009612,0.0066404811095629335
B8,T7,99.0,0.04605738378391831,0.014305796570009612,0.006750514428007663
B8,T7,126.0,0.04531164729794194,0.017532364126689733,0.006911115619214724
B8,T7,150.0,0.044454716585467555,,0.0072963063802122755
B9,T2,0.0,0.014425729167628597,0.001568472927187946,0.0010185075769085761
B9,T2,5.0,0.011265949623240738,0.002727279755480643,0.0009805748016241457
B9,T2,9.0,0.011321161766529794,0.0020814057922720116,0.0009660380912723198
B9,T2,16.0,0.011251679567409455,0.0018078974536174454,0.0009721341310972791
B9,T2,23.0,0.011154850752205151,0.0027062257201712677,0.0009876086937298677
B9,T2,30.0,0.011195948512999262,0.0024441091732695483,0.0010080572229229318
B9,T2,56.0,0.01114379794532492,0.002839298290264809,0.0010440640515593667
B9,T2,72.0,0.011367033509638367,0.0044705938606015485,0.0010876239405283748
B9,T2,83.0,0.011116503220353076,0.0024568421569204878,0.0010756998186729602
B9,T2,99.0,0.010971026487542114,0.002497063375457405,0.001069603778848001
B9,T2,126.0,0.010924635833312405,0.003101716824665933,0.0010857817306911622
B9,T2,150.0,0.011008050796035292,,0.0011248030845157641
B10,T2,0.0,0.014097844242887302,0.0013156440024083393,0.0008840771850180839
B10,T2,5.0,0.010557431412922352,0.0018671835142025233,0.0008502164928863127
B10,T2,9.0,0.010430133135596015,0.0017369049115692969,0.0008153509027945019
B10,T2,16.0,0.010392295629201782,0.0014589211160798289,0.0008225453896388436
B10,T2,23.0,0.010288597847813646,0.0027538927461046316,0.0008398471110377875
B10,T2,30.0,0.010286364148867296,0.0023081043010321394,0.0008566682290645385
B10,T2,56.0,0.01022567071285031,0.002526028663060359,0.0008994856204053589
B10,T2,72.0,0.010419393330561038,0.0040720538348741125,0.0009412981137861399
B10,T2,83.0,0.010240697414853029,0.0020671667571000862,0.0009394339552515734
B10,T2,99.0,0.01009476241702482,0.0021266827416621605,0.0009360697316462233
B10,T2,126.0,0.010024502431985079,0.0028163881798001465,0.0009528471584573202
B10,T2,150.0,0.010101779390482546,,0.0009936984450937155
B11,T6,0.0,0.026533965042385414,0.003650805284356205,0.002161581401561131
B11,T6,5.0,0.02094749427441781,0.005290827819597425,0.002316721025381149
B11,T6,9.0,0.020706528838849835,0.004533685484072231,0.002309846391209896
B11,T6,16.0,0.020693548656547132,0.003700338345202742,0.002424352016624829
B11,T6,23.0,0.020189175858499553,0.00581212377775788,0.0024659681056258074
B11,T6,30.0,0.01987327720934532,0.004961175701391278,0.002527072554889043
B11,T6,56.0,0.019047395280415602,0.005694051838741606,0.002651675299243004
B11,T6,72.0,0.018945122855019644,0.007483711907613831,0.002776799779226034
B11,T6,83.0,0.018393964344935974,0.004660331122477889,0.002778272915119873
B11,T6,99.0,0.017915028900485255,0.004660331122477889,0.0028126460859761388
B11,T6,126.0,0.01734390087916667,0.005931837149076742,0.002834558982397008
B11,T6,150.0,0.016910514938913684,,0.0029703636976103768
B12,T6,0.0,0.029250499450932332,0.0038070313373867294,0.002439031908332304
B12,T6,5.0,0.023383295021009352,0.005757422116552228,0.002494725565476265
B12,T6,9.0,0.023355945122445897,0.004834798050332942,0.002475110189375247
B12,T6,16.0,0.023319261528340938,0.003962384673284764,0.002544779801991184
B12,T6,23.0,0.022865383449799728,0.006900870112726253,0.002574202866142711
B12,T6,30.0,0.02257766685816588,0.005779181991366775,0.0026223656199621755
B12,T6,56.0,0.021808179632709833,0.005634277334466111,0.002736204856262727
B12,T6,72.0,0.022020629737622414,0.004956671384155138,0.0028799575411173305
B12,T6,83.0,0.021458871503636453,0.0051233558958537675,0.0028631443616021724
B12,T6,99.0,0.02098670589371451,0.005196523691511683,0.0028942837711625384
B12,T6,126.0,0.020539665289814168,0.006351988835010858,0.0029182425519716395
B12,T6,150.0,0.020293841796773553,,0.003041013789889619
B13,T6,0.0,0.024056507268456588,0.0036195740340890345,0.001865446355730244
B13,T6,5.0,0.01858443280635736,0.004993304093732799,0.0018892345349082469
B13,T6,9.0,0.018506426405125752,0.003936350582666456,0.0018789263239311121
B13,T6,16.0,0.018552054446341094,0.003324888317412902,0.001923472521368015
B13,T6,23.0,0.018264071309285815,0.005692047626844283,0.001945221713759332
B13,T6,30.0,0.018280962459158803,0.005115897405716754,0.001972946270206076
B13,T6,56.0,0.017702714782987482,0.0049984973894647115,0.002046293156004918
B13,T6,72.0,0.017611502573673356,0.006379305020296839,0.0021296367409107063
B13,T6,83.0,0.017227525057599658,0.004269837616189288,0.0021393785666693173
B13,T6,99.0,0.016875882028425673,0.004269837616189288,0.002167329677203471
B13,T6,126.0,0.016486288753433158,0.00546315105673443,0.00218415131819363
B13,T6,150.0,0.016198042377678565,,0.0022617460931314013
B14,T7,0.0,0.06733290530071397,0.009003189545302145,0.004847269857536644
B14,T7,5.0,0.05091301312356201,0.012765908684896438,0.005379076325799369
B14,T7,9.0,0.05037896222669597,0.011358247822718107,0.005484892176920364
B14,T7,16.0,0.050066667997448105,0.009612255748567767,0.0059062854927247315
B14,T7,23.0,0.049168535386082055,0.015358411000833816,0.0061232157795589335
B14,T7,30.0,0.048914909496770215,0.014075937590129468,0.006366638989354209
B14,T7,56.0,0.04815560114656961,0.014451488917490766,0.006834940362872008
B14,T7,72.0,0.04870751812226391,0.01663812744056417,0.007259918015312286
B14,T7,83.0,0.04736997654512199,0.01584043552224523,0.0072705151844967165
B14,T7,99.0,0.04640581187214072,0.016363920843642035,0.007422148208268036
B14,T7,126.0,0.045199851551233884,0.016672679706358134,0.007545106538952078
B14,T7,150.0,0.044264296747727576,,0.007885228917555272
B15,T4,0.0,0.03857660380935155,0.003581091966031838,0.0025048447284549726
B15,T4,5.0,0.03031795129838995,0.005200168524329205,0.0023931357004436334
B15,T4,9.0,0.030442135032256148,0.004599191376644865,0.0023606239689937386
B15,T4,16.0,0.029934917054322142,0.003895773232651434,0.002548006854690178
B15,T4,23.0,0.029497978881817908,0.007507366006597279,0.002601819375710694
B15,T4,30.0,0.029442027968757317,0.006589166857932371,0.002670966863658932
B15,T4,56.0,0.029401088276273954,0.006366025924965176,0.0028255177052803546
B15,T4,72.0,0.0299587985416041,0.005301902012785282,0.002956685725267862
B15,T4,83.0,0.029362815866785724,0.0049492406514589065,0.0029377872803856573
B15,T4,99.0,0.029101422133263173,0.005138435131527351,0.002985994330466536
B15,T4,126.0,0.028785442143096144,0.006551533722788953,0.002974943544899823
B15,T4,150.0,0.028748534390024023,,0.003059826390557185
B16,T4,0.0,0.04360297857685169,0.004793358708802278,0.0033181841544292837
B16,T4,5.0,0.04017667357926651,0.004871867799701101,0.0032585652969683338
B16,T4,9.0,0.040037327054007754,0.005758782501943762,0.0034918138680758277
B16,T4,16.0,0.03774662875712393,0.00470500260743454,0.0033721950280377415
B16,T4,23.0,0.037249637397060616,0.008836320331535632,0.0034107431112179705
B16,T4,30.0,0.03716334714564432,0.007743352733458895,0.0034808156861515244
B16,T4,56.0,0.03717684317714638,0.008231089821297092,0.003707857362509658
B16,T4,72.0,0.038178923516174246,0.0058620997105923766,0.003941595951623679
B16,T4,83.0,0.037263892580334655,0.00616729700016596,0.0038949897945583165
B16,T4,99.0,0.03682164449805157,0.006542498623204649,0.00396206781500753
B16,T4,126.0,0.03644763572505077,0.008145826754407712,0.003978728427229494
B16,T4,150.0,0.036440044207330866,,0.0041227392747036585
