sample,r_no3,c₀,R²,t_zeroorder,integral_no3,c_quick,t_quick,weight,facies,TOC,r_no3_weight
A301,6.643282374915323e-6,0.0028888213005892906,0.9837702690124213,0.0,0.0,0.0,0.0,18.0,C1,1.3,2.9525699444068097e-5
A302,7.118242216056418e-6,0.0023564174254191994,0.8807605268422385,0.0,0.0,0.0,0.0,22.545,T1,0.65,2.525878808092763e-5
A303,3.578991348692013e-6,0.0030066570304212066,0.8537160291503736,0.0,0.0,0.0,0.0,12.605,T2,2.9,2.2714740808834672e-5
A306,4.256655561104177e-6,0.0030570173834040654,0.9133514435885821,0.0,0.0,0.0,0.0,13.975,T4,2.06,2.4367259025998867e-5
A308,3.478385067915703e-6,0.001878330822536063,0.8896796967247943,65.0,0.03066537200626146,0.0011328828073544777,27.068441507971706,3.0,T9,40.1,9.275693514441875e-5
A310,4.091694782436054e-6,0.0016430538673954224,0.932307420901188,65.0,0.05978778447761897,0.001344935791486376,44.454006545207335,5.56500000000003,T8,24.6,5.8820410169790225e-5
A402,2.9827722191945188e-6,0.0005430912093717703,0.8949963838513406,10.0,0.003449922016771724,0.0006453632514853554,5.3457057073383885,17.325,C1,0.89,1.3773262772615384e-5
A403,5.019661997769568e-6,0.0006868574715319702,0.720798913670701,20.0,0.021942804736290688,0.002537887669577846,8.646089816867534,19.115,T1,0.53,2.1008263657942216e-5
A405,1.797695820229706e-6,0.002217974601471786,0.5815823553007151,50.0,0.023330941880924133,0.0009650802861258072,24.175130521610022,13.135,T4,3.49,1.0949041919937302e-5
A406,2.8192432208924366e-6,0.0009498658740996753,0.9333396189006049,30.0,0.047987428487976144,0.002298748348324682,20.875459692205624,3.81500000000003,T9,29.5,5.9119123898137126e-5
A502,2.6781060098100353e-6,0.0024028065253989344,0.732642805778622,0.0,0.0,0.0,0.0,20.995,T1,0.45,1.020473830839737e-5
A503,4.48994384879435e-6,0.003049855920034846,0.7790251813239407,0.0,0.0,0.0,0.0,6.34500000000001,T6,19.6,5.6610797147919215e-5
A504,3.247252834641286e-6,0.002235039336088827,0.8725628538092223,30.0,0.011888604915886426,0.0008423787389342757,14.113135061940353,7.09500000000001,T8,20.1,3.661454922780867e-5
A507,4.277303779273057e-6,0.0023812930023717253,0.7424761480330688,65.0,0.032596417897305746,0.0007214456521539652,45.18208377857031,3.55500000000002,T9,30.8,9.625437477970256e-5
A508,3.7545351797626435e-6,0.0027695881148090957,0.6067594896739704,0.0,0.0,0.0,0.0,13.625,T2,4.9,2.2044977202276073e-5
A509,1.7694087317880527e-6,0.0024823672984898137,0.8293355269571968,50.0,0.024418311007654847,0.0008066469568351687,30.271373121468947,4.76500000000002,T7,25.4,2.9706757301792998e-5
A510,1.7022334651180513e-6,0.0012980796303208913,0.787351621328127,65.0,0.09103323966575691,0.0020455270846322813,44.50356113574595,5.87500000000001,T6,11.2,2.3179349312245768e-5
A603,5.4466169182595184e-6,0.002077195612999961,0.9568215950859907,20.0,0.005974111764135717,0.0008020929593548051,7.448153851071361,8.97500000000002,T7,8.5,4.854923158337165e-5
A604,3.9191782655106795e-6,0.0015086494781725384,0.9624609601056388,105.0,0.12397395220127763,0.0019001940164544992,65.24278633010117,4.93500000000002,T7,15.4,6.353277836694085e-5
A904,3.2225057697024056e-6,0.0022107474441920715,0.8691308888918737,10.0,0.004729024185926481,0.0005840316781031024,8.097204934646781,6.26500000000002,T7,9.4,4.1149315495002656e-5
A905,3.105379679947622e-6,0.0026456023162226496,0.7315642281038814,30.0,0.0032854127164279323,0.0002864240236311365,11.470450958607309,7.28500000000003,T4,6.5,3.4101629978834416e-5
A906,6.342465855949505e-7,0.0010118840668733955,0.31914427988310956,80.0,0.10688008411569574,0.002116094528366658,50.508180368574024,12.185,T6,9.1,4.164113815970131e-6
A907,1.901148553180244e-6,0.0027520218624565553,0.5478121365925372,0.0,0.0,0.0,0.0,15.115,T2,3.4,1.006231453883027e-5
A908,1.527398125676187e-6,0.00023879107312494476,0.683988991419783,100.0,0.15624829450810152,0.0026887194945882523,58.112530824651614,1.47500000000002,T8,30.5,8.284193224006326e-5
B1,3.454935004854869e-7,0.0021953639030220062,0.20714715638553238,1.0,0.0002174166975431116,0.00010203517350259109,2.1308014685503576,15.339999999999998,C1,,1.801791397577507e-6
B2,1.4277129993775066e-6,0.002027887180139522,0.7418271418611677,1.0,0.0009973377733477513,0.00042248367764752357,2.3606539757964953,17.12,T2,1.3,6.671556071857508e-6
B3,2.0375211975202626e-6,0.0020383638058942017,0.8684761367067815,1.0,0.0010002466724748863,0.00040942661066965076,2.4430426513774983,21.0,T2,1.4,7.761985514362905e-6
B4,2.4272060606869757e-6,0.002165899484151282,0.8489626477318308,1.0,0.0019721855869067034,0.0007856414424529056,2.5102871110632936,23.41,T2,1.4,8.294595679408717e-6
B5,1.7482001998510807e-6,0.0021648257345447475,0.7459492422871554,1.0,0.003006427189292008,0.0011219306347099406,2.6796907903930065,22.4,T2,2.5,6.243572142325288e-6
B6,1.9864290508868247e-6,0.002229251406502852,0.8837664182613666,1.0,0.0010886049781106723,0.0004448920886080186,2.4468966879512446,7.369999999999999,T2,15.4,2.1562323483167707e-5
B7,9.929077887670623e-6,0.002232764655601303,0.9891940311706093,1.0,0.0006270538660406652,0.0003207432123252642,1.9550027621621897,3.0100000000000007,T9,,0.00026389575781184376
B8,2.90657142842583e-6,0.002153163111801056,0.9335476337249569,1.0,0.0016270824779929614,0.0006594371826917985,2.467380549199956,3.6100000000000003,T9,,6.441155520057241e-5
B9,8.700629079584297e-7,0.0021606449599504063,0.566006011364897,1.0,0.0015821725279328673,0.0006415529308614492,2.4661605486057017,15.540000000000003,T1,3.7,4.479088329258324e-6
B10,1.1523244102352113e-6,0.0022858455751405943,0.6931144897680399,1.0,0.0022682853465264136,0.0008632603826143571,2.6275795718285857,17.87,T1,3.01,5.158699094505703e-6
B11,5.828257278889335e-6,0.0022226448100714003,0.9919533976641866,1.0,0.0014441747752225818,0.000589955484421454,2.447938553599221,8.48,T7,8.7,5.498355923480504e-5
B12,4.052567130930678e-6,0.0021717061718686086,0.9796417139314972,1.0,0.0013233636020813528,0.0005449339646367321,2.4284843448206486,7.430000000000001,T7,7.6,4.363463936399115e-5
B13,4.016566656274036e-6,0.0021479128240100825,0.9784131533843893,1.0,0.0014564887417951172,0.0006155784484538681,2.3660489503057507,9.19,T7,6.1,3.496467165418095e-5
B14,3.6436674146648532e-6,0.0021085342101725695,0.9330791339917796,1.0,0.0017309166508175638,0.0007026145861322385,2.4635364607870374,3.51,T9,,8.30465507615921e-5
B15,1.544937178298367e-6,0.002414847226502222,0.7833982568181315,1.0,0.0019834916892179644,0.0007195018330075913,2.7567569646442265,6.499999999999999,T4,9.2,1.9014611425210674e-5
B16,1.8878078362366244e-6,0.002303562345812099,0.6379314885478063,1.0,0.0015394286838070412,0.0003017156241547905,5.102250465548517,4.780000000000001,T4,,3.1595110229901655e-5
