sample,k_no3 (zero order rate mol L-1 d-1,experiment initial c₀ (mol L-1),R²,t_zeroorder,integral_no3 mol (no3 d L-1),c_quick (model c0) [mol L-1],t_quick,weight (g),facies
A301,6.64328237491532E-06,0.0028888213005892900,0.9837702690124210,0.0,0.0,0.0,0.0,12.13500000000000,C1
A302,7.11824221605642E-06,0.0023564174254192000,0.8807605268422390,0.0,0.0,0.0,0.0,22.545000000000000,T1
A303,3.57899134869201E-06,0.0030066570304212100,0.8537160291503740,0.0,0.0,0.0,0.0,12.605000000000000,T2
A306,4.25665556110418E-06,0.0030570173834040700,0.9133514435885820,0.0,0.0,0.0,0.0,13.975000000000000,T4
A308,3.4783850679157E-06,0.001878330822536060,0.8896796967247940,65.0,0.03066537200626150,0.0011328828073544800,27.068441507971700,5.145000000000020,T9
A310,4.09169478243605E-06,0.0016430538673954200,0.932307420901188,65.0,0.05978778447761900,0.001344935791486380,44.454006545207300,5.565000000000030,T8
A402,2.98277221919452E-06,0.0005430912093717700,0.8949963838513410,10.0,0.003449922016771720,0.0006453632514853550,5.3457057073383900,17.325000000000000,C2
A403,5.01966199776957E-06,0.0006868574715319700,0.720798913670701,20.0,0.021942804736290700,0.002537887669577850,8.646089816867530,19.115000000000000,T1
A405,1.79769582022971E-06,0.002217974601471790,0.5815823553007150,50.0,0.023330941880924100,0.0009650802861258070,24.175130521610000,13.13500000000000,T4
A406,2.81924322089244E-06,0.0009498658740996750,0.9333396189006050,30.0,0.047987428487976100,0.002298748348324680,20.875459692205600,3.815000000000030,T9
A502,2.67810600981004E-06,0.0024028065253989300,0.732642805778622,0.0,0.0,0.0,0.0,20.99500000000000,T1
A503,4.48994384879435E-06,0.003049855920034850,0.7790251813239410,0.0,0.0,0.0,0.0,3.345000000000010,T6
A504,3.24725283464129E-06,0.002235039336088830,0.8725628538092220,30.0,0.011888604915886400,0.0008423787389342760,14.113135061940400,7.095000000000010,T8
A507,4.27730377927306E-06,0.0023812930023717300,0.7424761480330690,65.0,0.032596417897305700,0.0007214456521539650,45.18208377857030,3.555000000000020,T9
A508,3.75453517976264E-06,0.0027695881148091000,0.6067594896739700,0.0,0.0,0.0,0.0,13.625000000000000,T2
A509,1.76940873178805E-06,0.0024823672984898100,0.8293355269571970,50.0,0.024418311007654800,0.0008066469568351690,30.271373121468900,5.765000000000020,T7
A510,1.70223346511805E-06,0.0012980796303208900,0.787351621328127,65.0,0.09103323966575690,0.0020455270846322800,44.50356113574600,5.875000000000010,T6
A603,5.44661691825952E-06,0.002077195612999960,0.9568215950859910,20.0,0.005974111764135720,0.0008020929593548050,7.448153851071360,8.975000000000020,T7
A604,3.91917826551068E-06,0.0015086494781725400,0.9624609601056390,105.0,0.12397395220127800,0.0019001940164545000,65.24278633010120,4.9350000000000200,T7
A904,3.22250576970241E-06,0.0022107474441920700,0.8691308888918740,10.0,0.004729024185926480,0.0005840316781031020,8.097204934646780,6.265000000000020,T7
A905,3.10537967994762E-06,0.0026456023162226500,0.7315642281038810,30.0,0.0032854127164279300,0.0002864240236311370,11.470450958607300,7.285000000000030,T4
A906,6.3424658559495E-07,0.0010118840668734000,0.31914427988311000,80.0,0.10688008411569600,0.002116094528366660,50.508180368574000,12.185000000000000,T6
A907,1.90114855318024E-06,0.0027520218624565600,0.5478121365925370,0.0,0.0,0.0,0.0,15.115000000000000,T2
A908,1.52739812567619E-06,0.00023879107312494500,0.683988991419783,100.0,0.15624829450810200,0.0026887194945882500,58.112530824651600,1.4750000000000200,T8